Name,API,Most Followed Acount Followers
Anna Magnani,"twurl ""/1.1/users/search.json?count=1&q=Anna Magnani"" | jq '.[] | .followers_count'$'\n' >> output.log",1841
Halle Berry,"twurl ""/1.1/users/search.json?count=1&q=Halle Berry"" | jq '.[] | .followers_count'$'\n' >> output.log",142353
Sharon Stone,"twurl ""/1.1/users/search.json?count=1&q=Sharon Stone"" | jq '.[] | .followers_count'$'\n' >> output.log",99651
Kim Basinger,"twurl ""/1.1/users/search.json?count=1&q=Kim Basinger"" | jq '.[] | .followers_count'$'\n' >> output.log",9890
Glenda Jackson,"twurl ""/1.1/users/search.json?count=1&q=Glenda Jackson"" | jq '.[] | .followers_count'$'\n' >> output.log",604
Donna Reed,"twurl ""/1.1/users/search.json?count=1&q=Donna Reed"" | jq '.[] | .followers_count'$'\n' >> output.log",1110
Geena Davis,"twurl ""/1.1/users/search.json?count=1&q=Geena Davis"" | jq '.[] | .followers_count'$'\n' >> output.log",41702
Demi Moore,"twurl ""/1.1/users/search.json?count=1&q=Demi Moore"" | jq '.[] | .followers_count'$'\n' >> output.log",5213269
Michelle Pfeiffer,"twurl ""/1.1/users/search.json?count=1&q=Michelle Pfeiffer"" | jq '.[] | .followers_count'$'\n' >> output.log",969
Liza Minnelli,"twurl ""/1.1/users/search.json?count=1&q=Liza Minnelli"" | jq '.[] | .followers_count'$'\n' >> output.log",381
Charles Chaplin,"twurl ""/1.1/users/search.json?count=1&q=Charles Chaplin"" | jq '.[] | .followers_count'$'\n' >> output.log",2621
Peter Sellers,"twurl ""/1.1/users/search.json?count=1&q=Peter Sellers"" | jq '.[] | .followers_count'$'\n' >> output.log",4288
Woody Allen,"twurl ""/1.1/users/search.json?count=1&q=Woody Allen"" | jq '.[] | .followers_count'$'\n' >> output.log",461770
Jon Voight,"twurl ""/1.1/users/search.json?count=1&q=Jon Voight"" | jq '.[] | .followers_count'$'\n' >> output.log",58344
Mel Gibson,"twurl ""/1.1/users/search.json?count=1&q=Mel Gibson"" | jq '.[] | .followers_count'$'\n' >> output.log",35910
