user review number,budget,imdbID,Opening Weekend USA,critic number,Cumulative Worldwide Gross,Gross USA
439,9500000,tt1675434,103507,313,426480871,13182281
168,45000000,tt0376136,5135369,281,,13100042
160,2000000,tt1767382,6661234,217,,12555230
179,,tt1229822,182885,275,34710627,11242660
217,50000000,tt1502404,5187625,296,,10706786
149,25000000,tt0999913,5123760,191,,10324441
116,,tt1606392,464420,230,,10179275
40,30000000,tt0844993,4108630,76,23352752,10143779
34,8000000,tt1604171,4712638,84,,10130219
67,24000000,tt1742650,4402201,167,,9659074
142,5000000,tt1704573,85805,234,,9203192
142,,tt1441952,225894,220,,9025107
150,45000000,tt1634122,3833300,150,164539660,8305970
101,10000000,tt1720616,2017466,167,,7250054
135,41000000,tt1053810,3251884,105,,7204138
292,500000,tt1832382,59481,375,24426169,7098492
89,23000000,tt0810922,3464679,134,,6923891
85,,tt1477837,302968,211,,6857503
196,15000000,tt1571222,167953,347,,5702083
136,6000000,tt1540133,76834,259,,5359774
85,1000000,tt1720182,102096,39,,5355847
232,3500000,tt1615147,561904,296,19504039,5354039
311,20000000,tt0480239,1686347,62,,4752353
140,30000000,tt1521197,1012768,289,15395087,4463292
118,10000000,tt1588334,855709,179,,4244155
146,,tt1456635,49076,151,,4168144
346,1100000,tt1899353,213785,490,,4105123
406,6500000,tt1723811,349519,491,,4000304
194,16700000,tt1285241,2600000,56,,3680306
158,250000,tt1758692,123140,194,,3413908
164,13000000,tt1189073,223119,407,30842353,3185812
576,7400000,tt1527186,257174,405,,3029870
32,,tt0893412,1115638,27,,3016244
100,8000000,tt1602098,696166,223,7532259,3014696
191,,tt1441326,137651,349,,2981638
188,25000000,tt1692486,79795,376,27603069,2547047
311,24000000,tt1562871,1654023,56,35911689,2511689
67,10000000,tt1411664,1415023,47,,2331318
49,,tt2011971,112190,171,9074711,2009517
29,,tt1445520,47528,110,2451259,2007758
18,930000,tt1726589,20186,16,,2000000
227,11000000,tt1726669,37864,377,3665069,1987762
60,,tt1435513,35656,186,,1800000
80,10000000,tt1554091,62087,92,1863419,1759252
330,7000000,tt1242460,24587,395,,1738692
