Gross USA,user review number,Cumulative Worldwide Gross,imdbID,Opening Weekend USA,budget,critic number
176305,83,,tt1247690,100090,30000000,137
172343,5,,tt3511542,77130,,32
171963,10,,tt3163304,12072,,47
162270,40,,tt3505712,18934,,71
154528,11,,tt2822742,1122,,74
150564,30,,tt1745787,11094,,227
149805,20,,tt3399024,39041,20000000,105
149337,49,,tt1562899,149337,,21
143653,12,,tt2403393,40763,4000000,31
139511,60,,tt3149038,31408,,99
137945,44,,tt2474024,38677,2000000,81
137600,24,,tt3093546,23284,,116
132075,44,,tt2893490,13000,4000000,111
130265,27,,tt3184934,37502,,127
129115,28,,tt2952602,58664,25000000,64
121150,47,,tt2624412,27000,,71
116400,61,,tt2486678,18006,,49
106869,46,,tt2515030,106869,17000000,107
104415,27,,tt3318750,36657,,49
104401,66,400194,tt2920808,23400,1000000,105
101713,16,,tt3576084,9427,,43
101542,27,,tt2141751,11330,1850000,83
101137,56,,tt1702014,26334,,105
100120,9,,tt3894190,6286,,77
100000,14,,tt2435458,3492,,13
99872,5,,tt3696086,48000,,18
92918,25,,tt2287170,15158,,35
90310,34,,tt2390237,57105,,124
88460,52,,tt1767372,20814,,164
80315,54,,tt2581244,15843,2400000,169
80015,15,,tt3687186,16862,,65
73613,3,,tt1670994,12542,,3
72273,33,,tt1609479,5337,5000000,44
69236,9,,tt3044244,7357,2500000,130
68372,433,4824499,tt2397535,,,244
61505,35,,tt2192016,8487,ZD 3500000,73
59306,42,,tt2510028,10962,,30
55749,84,,tt2490326,7545,,124
55479,2,,tt3900206,6572,,30
55007,101,,tt1780798,26920,1500000,133
53686,11,,tt2790236,19704,,59
52961,15,,tt2494384,2012,8000000,58
49284,49,,tt2675914,5208,OK 35304282,139
48949,85,,tt3395184,19675,,193
48817,581,,tt2212008,29231,,62
44577,53,,tt2911668,30287,,83
44500,8,,tt1864405,10500,,21
43282,103,,tt2366608,20828,2000000,196
43057,2,,tt3529612,4938,,5
42297,19,,tt3365778,5063,,80
40753,27,,tt3186318,7601,,49
39751,72,,tt2463288,39751,,76
38449,11,,tt2611390,7100,,60
37440,72,,tt1798243,37440,5000000,48
37047,95,,tt0443465,3225,,52
35688,74,,tt3569356,10329,800000,6
33518,76,,tt2238050,11962,,158
32869,8,,tt2392810,5954,,76
32630,38,,tt2570858,13000,1000000,196
31849,58,,tt3139538,3756,,27
31826,9,,tt0498351,24260,,17
31250,23,,tt2182972,20200,6000000,43
30312,27,,tt2955096,7523,70000,62
29610,6,,tt3400980,3361,6000000,41
29227,31,,tt2094034,9515,,27
28066,21,,tt2245171,4880,16000000,84
